employer_name,city,state,occupation,soc_code,job_title,estimated_headcount,headcount_confidence,salary_min,salary_median,salary_max,salary_confidence,location_confidence,overall_confidence,industry,inference_source,record_type
Wellington Management,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,360,0.49,29352,48920,73276,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Wellington Management,Boston,MA,compliance,,Compliance,240,0.49,36552,60920,106778,0.6,0.9,0.265,finance,employer_db:news_estimate,inferred_archetype
Wellington Management,Boston,MA,other,,Other,180,0.49,36552,60920,106778,0.6,0.9,0.265,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,financial_analysts,13-2051,Financial Analysts,300,0.49,65922,109870,171430,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,accountants,13-2011,Accountants and Auditors,240,0.49,51804,86340,135688,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,software_developers,15-1252,Software Developers,300,0.49,84138,140230,204246,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,customer_service,,Customer Service,240,0.49,36552,60920,106778,0.6,0.9,0.265,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,sales,41-0000,Sales and Related Occupations,200,0.49,23352,38920,76048,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,management,11-1021,General and Operations Managers,200,0.49,86136,143560,225890,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,240,0.49,29352,48920,73276,0.85,0.9,0.375,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,compliance,,Compliance,160,0.49,36552,60920,106778,0.6,0.9,0.265,finance,employer_db:news_estimate,inferred_archetype
Putnam Investments,Boston,MA,other,,Other,120,0.49,36552,60920,106778,0.6,0.9,0.265,finance,employer_db:news_estimate,inferred_archetype
Biogen,Cambridge,MA,scientists,19-1042,Medical Scientists,2625,0.595,53604,89340,138264,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,research_associates,,Research Associates,1125,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,manufacturing,,Manufacturing,900,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,quality_control,,Quality Control,600,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,regulatory,,Regulatory,375,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,software_developers,15-1252,Software Developers,600,0.595,84138,140230,204246,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,management,11-1021,General and Operations Managers,525,0.595,86136,143560,225890,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,375,0.595,29352,48920,73276,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Biogen,Cambridge,MA,other,,Other,375,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,scientists,19-1042,Medical Scientists,1400,0.595,53604,89340,138264,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,research_associates,,Research Associates,600,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,manufacturing,,Manufacturing,480,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,quality_control,,Quality Control,320,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,regulatory,,Regulatory,200,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,software_developers,15-1252,Software Developers,320,0.595,84138,140230,204246,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,management,11-1021,General and Operations Managers,280,0.595,86136,143560,225890,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,200,0.595,29352,48920,73276,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Moderna,Cambridge,MA,other,,Other,200,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,scientists,19-1042,Medical Scientists,1400,0.595,53604,89340,138264,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,research_associates,,Research Associates,600,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,manufacturing,,Manufacturing,480,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,quality_control,,Quality Control,320,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,regulatory,,Regulatory,200,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,software_developers,15-1252,Software Developers,320,0.595,84138,140230,204246,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,management,11-1021,General and Operations Managers,280,0.595,86136,143560,225890,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,200,0.595,29352,48920,73276,0.85,0.9,0.455,biotech,employer_db:sec_10k,inferred_archetype
Vertex Pharmaceuticals,Boston,MA,other,,Other,200,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,scientists,19-1042,Medical Scientists,875,0.56,53604,89340,138264,0.85,0.9,0.428,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,research_associates,,Research Associates,375,0.56,36552,60920,106778,0.6,0.9,0.302,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,manufacturing,,Manufacturing,300,0.56,36552,60920,106778,0.6,0.9,0.302,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,quality_control,,Quality Control,200,0.56,36552,60920,106778,0.6,0.9,0.302,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,regulatory,,Regulatory,125,0.56,36552,60920,106778,0.6,0.9,0.302,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,software_developers,15-1252,Software Developers,200,0.56,84138,140230,204246,0.85,0.9,0.428,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,management,11-1021,General and Operations Managers,175,0.56,86136,143560,225890,0.85,0.9,0.428,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,125,0.56,29352,48920,73276,0.85,0.9,0.428,biotech,employer_db:sec_10k,inferred_archetype
Sarepta Therapeutics,Cambridge,MA,other,,Other,125,0.56,36552,60920,106778,0.6,0.9,0.302,biotech,employer_db:sec_10k,inferred_archetype
Novartis,Cambridge,MA,scientists,19-1042,Medical Scientists,1050,0.525,53604,89340,138264,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,research_associates,,Research Associates,450,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,manufacturing,,Manufacturing,360,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,quality_control,,Quality Control,240,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,regulatory,,Regulatory,150,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,software_developers,15-1252,Software Developers,240,0.525,84138,140230,204246,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,management,11-1021,General and Operations Managers,210,0.525,86136,143560,225890,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,150,0.525,29352,48920,73276,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Novartis,Cambridge,MA,other,,Other,150,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,scientists,19-1042,Medical Scientists,875,0.525,53604,89340,138264,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,research_associates,,Research Associates,375,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,manufacturing,,Manufacturing,300,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,quality_control,,Quality Control,200,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,regulatory,,Regulatory,125,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,software_developers,15-1252,Software Developers,200,0.525,84138,140230,204246,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,management,11-1021,General and Operations Managers,175,0.525,86136,143560,225890,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,125,0.525,29352,48920,73276,0.85,0.9,0.402,biotech,employer_db:news_estimate,inferred_archetype
Takeda,Cambridge,MA,other,,Other,125,0.525,36552,60920,106778,0.6,0.9,0.283,biotech,employer_db:news_estimate,inferred_archetype
Broad Institute,Cambridge,MA,scientists,19-1042,Medical Scientists,1225,0.595,53604,89340,138264,0.85,0.9,0.455,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,research_associates,,Research Associates,525,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,manufacturing,,Manufacturing,420,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,quality_control,,Quality Control,280,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,regulatory,,Regulatory,175,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,software_developers,15-1252,Software Developers,280,0.595,84138,140230,204246,0.85,0.9,0.455,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,management,11-1021,General and Operations Managers,245,0.595,86136,143560,225890,0.85,0.9,0.455,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,175,0.595,29352,48920,73276,0.85,0.9,0.455,biotech,employer_db:990_filing,inferred_archetype
Broad Institute,Cambridge,MA,other,,Other,175,0.595,36552,60920,106778,0.6,0.9,0.321,biotech,employer_db:990_filing,inferred_archetype
Raytheon,Waltham,MA,engineers,17-2000,Engineers,8750,0.56,40000,60000,100000,0.85,0.9,0.428,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,scientists,19-1042,Medical Scientists,3750,0.56,53604,89340,138264,0.85,0.9,0.428,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,technicians,,Technicians,3750,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,manufacturing,,Manufacturing,2500,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,management,11-1021,General and Operations Managers,2000,0.56,86136,143560,225890,0.85,0.9,0.428,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,administrative,43-6014,Secretaries and Administrative Assistants,2000,0.56,29352,48920,73276,0.85,0.9,0.428,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,security,,Security,1250,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:sec_10k,inferred_archetype
Raytheon,Waltham,MA,other,,Other,1000,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,engineers,17-2000,Engineers,1750,0.49,40000,60000,100000,0.85,0.9,0.375,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,scientists,19-1042,Medical Scientists,750,0.49,53604,89340,138264,0.85,0.9,0.375,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,technicians,,Technicians,750,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,manufacturing,,Manufacturing,500,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,management,11-1021,General and Operations Managers,400,0.49,86136,143560,225890,0.85,0.9,0.375,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,administrative,43-6014,Secretaries and Administrative Assistants,400,0.49,29352,48920,73276,0.85,0.9,0.375,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,security,,Security,250,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:sec_10k,inferred_archetype
General Dynamics,Quincy,MA,other,,Other,200,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:sec_10k,inferred_archetype
BAE Systems,Burlington,MA,engineers,17-2000,Engineers,1400,0.49,40000,60000,100000,0.85,0.9,0.375,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,scientists,19-1042,Medical Scientists,600,0.49,53604,89340,138264,0.85,0.9,0.375,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,technicians,,Technicians,600,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,manufacturing,,Manufacturing,400,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,management,11-1021,General and Operations Managers,320,0.49,86136,143560,225890,0.85,0.9,0.375,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,administrative,43-6014,Secretaries and Administrative Assistants,320,0.49,29352,48920,73276,0.85,0.9,0.375,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,security,,Security,200,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:news_estimate,inferred_archetype
BAE Systems,Burlington,MA,other,,Other,160,0.49,36552,60920,106778,0.6,0.9,0.265,defense,employer_db:news_estimate,inferred_archetype
Draper Laboratory,Cambridge,MA,engineers,17-2000,Engineers,700,0.56,40000,60000,100000,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,scientists,19-1042,Medical Scientists,300,0.56,53604,89340,138264,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,technicians,,Technicians,300,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,manufacturing,,Manufacturing,200,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,management,11-1021,General and Operations Managers,160,0.56,86136,143560,225890,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,160,0.56,29352,48920,73276,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,security,,Security,100,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
Draper Laboratory,Cambridge,MA,other,,Other,80,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,engineers,17-2000,Engineers,1050,0.56,40000,60000,100000,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,scientists,19-1042,Medical Scientists,450,0.56,53604,89340,138264,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,technicians,,Technicians,450,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,manufacturing,,Manufacturing,300,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,management,11-1021,General and Operations Managers,240,0.56,86136,143560,225890,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,administrative,43-6014,Secretaries and Administrative Assistants,240,0.56,29352,48920,73276,0.85,0.9,0.428,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,security,,Security,150,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
MITRE Corporation,Bedford,MA,other,,Other,120,0.56,36552,60920,106778,0.6,0.9,0.302,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,engineers,17-2000,Engineers,1400,0.595,40000,60000,100000,0.85,0.9,0.455,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,scientists,19-1042,Medical Scientists,600,0.595,53604,89340,138264,0.85,0.9,0.455,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,technicians,,Technicians,600,0.595,36552,60920,106778,0.6,0.9,0.321,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,manufacturing,,Manufacturing,400,0.595,36552,60920,106778,0.6,0.9,0.321,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,management,11-1021,General and Operations Managers,320,0.595,86136,143560,225890,0.85,0.9,0.455,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,administrative,43-6014,Secretaries and Administrative Assistants,320,0.595,29352,48920,73276,0.85,0.9,0.455,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,security,,Security,200,0.595,36552,60920,106778,0.6,0.9,0.321,defense,employer_db:990_filing,inferred_archetype
Lincoln Laboratory (MIT),Lexington,MA,other,,Other,160,0.595,36552,60920,106778,0.6,0.9,0.321,defense,employer_db:990_filing,inferred_archetype
Boston Consulting Group,Boston,MA,consultants,,Consultants,1250,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Boston Consulting Group,Boston,MA,analysts,,Analysts,500,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Boston Consulting Group,Boston,MA,management,11-1021,General and Operations Managers,250,0.49,86136,143560,225890,0.85,0.9,0.375,consulting,employer_db:h1b_filings,inferred_archetype
Boston Consulting Group,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,250,0.49,29352,48920,73276,0.85,0.9,0.375,consulting,employer_db:h1b_filings,inferred_archetype
Boston Consulting Group,Boston,MA,it_staff,,It Staff,125,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Boston Consulting Group,Boston,MA,other,,Other,125,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,consultants,,Consultants,1000,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,analysts,,Analysts,400,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,management,11-1021,General and Operations Managers,200,0.49,86136,143560,225890,0.85,0.9,0.375,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,200,0.49,29352,48920,73276,0.85,0.9,0.375,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,it_staff,,It Staff,100,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
Bain & Company,Boston,MA,other,,Other,100,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,consultants,,Consultants,750,0.455,36552,60920,106778,0.6,0.9,0.246,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,analysts,,Analysts,300,0.455,36552,60920,106778,0.6,0.9,0.246,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,management,11-1021,General and Operations Managers,150,0.455,86136,143560,225890,0.85,0.9,0.348,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,150,0.455,29352,48920,73276,0.85,0.9,0.348,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,it_staff,,It Staff,75,0.455,36552,60920,106778,0.6,0.9,0.246,consulting,employer_db:h1b_filings,inferred_archetype
McKinsey & Company,Boston,MA,other,,Other,75,0.455,36552,60920,106778,0.6,0.9,0.246,consulting,employer_db:h1b_filings,inferred_archetype
Deloitte,Boston,MA,consultants,,Consultants,2000,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
Deloitte,Boston,MA,analysts,,Analysts,800,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
Deloitte,Boston,MA,management,11-1021,General and Operations Managers,400,0.49,86136,143560,225890,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
Deloitte,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,400,0.49,29352,48920,73276,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
Deloitte,Boston,MA,it_staff,,It Staff,200,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
Deloitte,Boston,MA,other,,Other,200,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,consultants,,Consultants,1500,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,analysts,,Analysts,600,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,management,11-1021,General and Operations Managers,300,0.49,86136,143560,225890,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,300,0.49,29352,48920,73276,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,it_staff,,It Staff,150,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
PwC,Boston,MA,other,,Other,150,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,consultants,,Consultants,1250,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,analysts,,Analysts,500,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,management,11-1021,General and Operations Managers,250,0.49,86136,143560,225890,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,250,0.49,29352,48920,73276,0.85,0.9,0.375,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,it_staff,,It Staff,125,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
EY,Boston,MA,other,,Other,125,0.49,36552,60920,106778,0.6,0.9,0.265,consulting,employer_db:news_estimate,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,police,,Police,6000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,fire,,Fire,2500,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,teachers,25-2021,Elementary School Teachers,12500,0.665,44736,74560,109676,0.85,0.9,0.509,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,10000,0.665,29352,48920,73276,0.85,0.9,0.509,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,social_workers,,Social Workers,4000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,maintenance,,Maintenance,5000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,management,11-1021,General and Operations Managers,4000,0.665,86136,143560,225890,0.85,0.9,0.509,government,employer_db:state_payroll,inferred_archetype
Commonwealth of Massachusetts,Boston,MA,other,,Other,6000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:state_payroll,inferred_archetype
City of Boston,Boston,MA,police,,Police,2400,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,fire,,Fire,1000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,teachers,25-2021,Elementary School Teachers,5000,0.665,44736,74560,109676,0.85,0.9,0.509,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,4000,0.665,29352,48920,73276,0.85,0.9,0.509,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,social_workers,,Social Workers,1600,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,maintenance,,Maintenance,2000,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,management,11-1021,General and Operations Managers,1600,0.665,86136,143560,225890,0.85,0.9,0.509,government,employer_db:city_payroll,inferred_archetype
City of Boston,Boston,MA,other,,Other,2400,0.665,36552,60920,106778,0.6,0.9,0.359,government,employer_db:city_payroll,inferred_archetype
